Kabupaten,Kecamatan,Desa,Tahun,Jum Penduduk,Persentase Pen Miskin,Jumlah Pen Miskin,Garis Kemiskinan(Rp/Kap/Bulan),Persentase Ruta Miskin Penerima BPNT/Program Sembako (%),Jumlah (kg/ bulan),Harga (Rp/Kg),Persentase Rumah Tangga Memiliki Akses Sanitasi Layak,Persentasi Rumah Tangga Memiliki Akses Air Minum Layak ,Rata-rata pendapatan/hari,Total pendapatan/bulan,Total pengeluaran/bulan,Pengeluaran/hari,Miskin,Tidak Miskin,Miskin dan Tidak Miskin,Bekerja di sektor pertanian,Bekerja bukan di sektor pertanian,Mencari pekerjaan,Tidak bekerja,Persentase Pengangguran,Tingkat Kekumuhan,Luas Kumuh (Ha),<SD,Tamat SD/SMP,>SMA,IPM(indeks pembangunan manusia)
Pesawaran,Gedong Tataan,Bagelen,2021,7.84,"41,11",784.0,"Rp420.032,00",12.87,21.59,Rp11.016,Layak,Layak,Rp100.000,3.000.000,Rp369.840, Rp12.328 ,"63,17","56,99","57,58",1851.0,2116.0,793.0,529.0,"66,71",Kumuh Sedang,"15,56","23,78","59,17","17,05","66,14"
Pesawaran,Gedong Tataan,Bagelen,2022,7.96,"41,73",796.0,"Rp452.521,00",35.03,14.87,Rp6.809,Layak,Layak,Rp100.001,3.000.001,Rp369.841, Rp12.329 ,"63,18","56,100","57,59",1851.0,2116.0,793.0,529.0,"66,72",Kumuh Sedang,"16,56","22,85","49,16","27,99","66,70"
Pesawaran,Gedong Tataan,Bagelen,2023,8.08,"42,35",808.0,"Rp491.239,00",25.27,40.51,Rp19.710,Layak,Layak,Rp100.002,Rp3.000.002,Rp369.842, Rp12.330 ,"63,19","56,101","57,60",1851.0,2116.0,793.0,529.0,"66,73",Kumuh Sedang,"17,56","23,78","59,17","17,05","69,46"
Pesawaran,Gedong Tataan,Bernung,2021,5.08,"26,64",508.0,"Rp420.032,00",7.28,11.49,Rp11.091,Tidak Layak,Layak,Rp100.003,Rp3.000.003,Rp369.843, Rp12.331 ,"63,20","56,102","57,61",1851.0,2116.0,793.0,529.0,"66,74",Kumuh Sedang,"18,15","17,10","58,96","23,94","66,14"
Pesawaran,Gedong Tataan,Bernung,2022,5.19,"27,18",519.0,"Rp452.521,00",64.45,42.8,Rp13.538,Layak,Layak,Rp100.004,Rp3.000.004,Rp369.844, Rp12.332 ,"63,21","56,103","57,62",1851.0,2116.0,793.0,529.0,"66,75",Kumuh Sedang,"20,15","18,52","57,80","23,68","66,70"
Pesawaran,Gedong Tataan,Bernung,2023,5.29,"27,72",529.0,"Rp491.239,00",25.12,34.77,Rp10.154,Layak,Layak,Rp100.005,Rp3.000.005,Rp369.845, Rp12.333 ,"63,22","56,104","57,63",1851.0,2116.0,793.0,529.0,"66,76",Kumuh Sedang,"20,15","22,85","49,16","27,99","69,46"
Pesawaran,Gedong Tataan,Bogorejo,2021,4.8,"25,16",480.0,"Rp420.032,00",45.02,7.66,Rp16.833,Tidak Layak,Tidak Layak,Rp100.006,Rp3.000.006,Rp369.846, Rp12.334 ,"63,23","56,105","57,64",1851.0,2116.0,793.0,529.0,"66,77",Kumuh Sedang,"17,56","5,54","67,58","26,88","66,14"
Pesawaran,Gedong Tataan,Bogorejo,2022,5.22,"27,34",522.0,"Rp452.521,00",28.83,41.49,Rp11.170,Tidak Layak,Tidak Layak,Rp100.007,Rp3.000.007,Rp369.847, Rp12.335 ,"63,24","56,106","57,65",1851.0,2116.0,793.0,529.0,"66,78",Kumuh Sedang,"19,08","4,00","72,69","23,32","66,70"
Pesawaran,Gedong Tataan,Bogorejo,2023,5.24,"27,48",524.0,"Rp491.239,00",92.12,33.25,Rp10.389,Layak,Layak,Rp100.008,Rp3.000.008,Rp369.848, Rp12.336 ,"63,25","56,107","57,66",1851.0,2116.0,793.0,529.0,"66,79",Kumuh Sedang,"19,83","13,72","63,76","22,52","69,46"
Pesawaran,Gedong Tataan,Cipadang,2021,8.22,"43,09",822.0,"Rp420.032,00",45.02,45.72,Rp10.992,Layak,Layak,Rp100.009,Rp3.000.009,Rp369.849, Rp12.337 ,"63,26","56,108","57,67",1851.0,2116.0,793.0,529.0,"66,80",Kumuh Sedang,"16,56","19,32","60,62","20,06","66,14"
Pesawaran,Gedong Tataan,Cipadang,2022,8.39,"43,96",839.0,"Rp452.521,00",87.99,38.69,Rp9.527,Layak,Layak,Rp100.010,Rp3.000.010,Rp369.850, Rp12.338 ,"63,27","56,109","57,68",1851.0,2116.0,793.0,529.0,"66,81",Kumuh Sedang,"17,56","20,97","66,25","12,78","66,70"
Pesawaran,Gedong Tataan,Cipadang,2023,8.55,"44,84",855.0,"Rp491.239,00",4.40,30.25,Rp16.628,Layak,Layak,Rp100.011,Rp3.000.011,Rp369.851, Rp12.339 ,"63,28","56,110","57,69",1851.0,2116.0,793.0,529.0,"66,82",Kumuh Sedang,"11,25","29,63","56,73","13,64","69,46"
